"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"78526011641","2014-01-01","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  80.1","24","  72.4","24","1018.1","24","018.0","24","  9.7","24"," 11.7","24"," 21.0"," 26.0","  86.0"," ","  73.9"," "," 0.29","G","999.9","010000"
"78526011641","2014-01-02","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.9","24","  73.1","24","1016.4","23","016.2","24","  9.9","24","  9.8","24"," 17.1"," 21.0","  84.9"," ","  73.9"," "," 0.28","G","999.9","010000"
"78526011641","2014-01-03","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.7","24","  72.5","24","1016.0","24","015.8","24","  9.7","24","  6.5","24"," 17.1"," 22.9","  86.0"," ","  75.0"," "," 0.05","G","999.9","010000"
"78526011641","2014-01-04","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.4","24","  73.9","24","1017.3","24","017.1","24","  9.7","24","  7.5","24"," 18.1"," 24.1","  86.0"," ","  75.0"," "," 0.16","G","999.9","010000"
"78526011641","2014-01-05","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  80.5","24","  71.3","24","1017.5","24","017.4","24","  9.7","24","  9.1","24"," 17.1"," 22.0","  88.0"," ","  75.0"," "," 0.13","G","999.9","010000"
"78526011641","2014-01-06","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.9","24","  72.7","24","1017.3","24","017.1","24"," 10.0","24","  8.5","24"," 17.1"," 24.1","  88.0"," ","  75.0"," "," 0.04","G","999.9","010000"
"78526011641","2014-01-07","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  81.0","24","  73.3","24","1017.1","24","016.9","24","  9.6","24"," 10.2","24"," 19.0"," 22.9","  86.0"," ","  75.0"," "," 0.03","G","999.9","010000"
"78526011641","2014-01-08","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  80.4","24","  71.2","24","1018.4","24","018.2","24"," 10.0","24","  9.0","24"," 15.9"," 22.9","  86.0"," ","  77.0"," "," 0.00","H","999.9","010000"
"78526011641","2014-01-09","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  80.0","24","  71.5","24","1019.1","24","018.9","24","  9.9","24"," 10.9","24"," 19.0"," 26.0","  86.0"," ","  75.9"," "," 0.10","G","999.9","010000"
"78526011641","2014-01-10","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.8","24","  70.2","24","1018.6","24","018.4","24"," 10.0","24"," 10.4","24"," 20.0"," 25.1","  84.9"," ","  75.9"," "," 0.01","G","999.9","010000"
"78526011641","2014-01-11","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.4","24","  69.3","24","1018.7","24","018.6","24","  9.8","24","  8.8","24"," 18.1"," 22.0","  86.0"," ","  73.0"," "," 0.08","G","999.9","010000"
"78526011641","2014-01-12","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  79.5","24","  70.6","24","1019.1","24","019.0","24","  9.5","24","  7.6","24"," 15.9"," 22.9","  87.1"," ","  73.0"," "," 0.13","G","999.9","010000"
"78526011641","2014-01-13","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.4","24","  71.6","24","1019.1","24","019.0","24","  9.0","24","  6.6","24"," 19.0"," 25.1","  87.1"," ","  73.9"," "," 0.14","G","999.9","010000"
"78526011641","2014-01-14","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  77.0","24","  69.4","24","1018.9","24","018.7","24"," 10.0","24","  5.9","24"," 17.1"," 19.0","  84.9"," ","  72.0"," "," 0.23","G","999.9","000000"
"78526011641","2014-01-15","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.9","24","  64.4","24","1017.9","24","017.7","24"," 10.0","24","  6.7","24"," 14.0"," 21.0","  84.9"," ","  72.0"," "," 0.02","G","999.9","000000"
"78526011641","2014-01-16","18.43261","-66.01065","3.0","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, PR US","  78.1","24","  67.0","24","1016.3","24","016.2","24"," 10.0","24","  3.9","24","  9.9","999.9","  84.9"," ","  73.0"," "," 0.01","G","999.9","000000"
